sensorID,date time,battery,co2,humidity,temperature
lw-ms-ambi-01,2025-04-25T19:24:39.996878Z,67,322,56.5,17.6
lw-ms-ambi-03,2025-04-25T19:28:44.123581Z,71,413,55.5,17.8
lw-ms-ambi-01,2025-04-25T19:34:41.014994Z,67,317,56.5,17.6
lw-ms-ambi-03,2025-04-25T19:38:41.820951Z,71,403,55.5,17.8
lw-ms-ambi-02,2025-04-25T19:38:46.968320Z,65,779,49,20.4
lw-ms-ambi-01,2025-04-25T19:44:41.262944Z,67,332,56,17.6
lw-ms-ambi-02,2025-04-25T19:48:43.222697Z,65,779,49,20.4
lw-ms-ambi-03,2025-04-25T19:48:43.698344Z,71,414,55.5,17.8
lw-ms-ambi-01,2025-04-25T19:54:42.754978Z,67,307,56,17.6
lw-ms-ambi-03,2025-04-25T19:58:44.352283Z,71,413,55,17.8
lw-ms-ambi-01,2025-04-25T20:04:43.175641Z,67,318,56.5,17.6
lw-ms-ambi-03,2025-04-25T20:08:42.067040Z,71,425,55.5,17.9
lw-ms-ambi-02,2025-04-25T20:08:45.609060Z,65,766,49,20.4
lw-ms-ambi-01,2025-04-25T20:14:42.451071Z,67,324,56.5,17.6
lw-ms-ambi-03,2025-04-25T20:18:42.808920Z,71,407,56,17.8
lw-ms-ambi-02,2025-04-25T20:18:43.947352Z,65,756,49,20.4
lw-ms-ambi-01,2025-04-25T20:24:39.596386Z,67,328,56.5,17.5
lw-ms-ambi-03,2025-04-25T20:28:43.837335Z,71,421,56,17.9
lw-ms-ambi-02,2025-04-25T20:28:44.841544Z,65,767,49,20.4
lw-ms-ambi-01,2025-04-25T20:34:42.458473Z,67,319,56.5,17.6
