sensorID,date time,battery,co2,humidity,temperature
lw-ms-ambi-03,2025-01-21T17:58:39.740230Z,77,446,55.5,16.1
lw-ms-ambi-01,2025-01-21T18:04:42.169801Z,73,842,55,17.4
lw-ms-ambi-02,2025-01-21T18:06:46.381169Z,74,784,56,18.6
lw-ms-ambi-03,2025-01-21T18:08:41.004474Z,77,440,55.5,16.1
lw-ms-ambi-01,2025-01-21T18:14:41.104007Z,73,818,55,17.4
lw-ms-ambi-02,2025-01-21T18:16:43.773962Z,74,779,56,18.6
lw-ms-ambi-03,2025-01-21T18:18:39.178137Z,77,440,55.5,16.1
lw-ms-ambi-01,2025-01-21T18:24:38.918673Z,73,824,55,17.3
lw-ms-ambi-02,2025-01-21T18:26:45.682813Z,74,772,56,18.6
lw-ms-ambi-03,2025-01-21T18:28:39.301254Z,77,428,55.5,16.1
lw-ms-ambi-01,2025-01-21T18:34:38.491065Z,73,805,55,17.3
lw-ms-ambi-02,2025-01-21T18:36:45.182237Z,74,766,56,18.5
lw-ms-ambi-03,2025-01-21T18:38:40.194469Z,77,424,55.5,16.1
lw-ms-ambi-01,2025-01-21T18:44:41.761406Z,73,776,55,17.3
lw-ms-ambi-02,2025-01-21T18:46:47.185327Z,74,779,56,18.5
lw-ms-ambi-03,2025-01-21T18:48:38.525129Z,77,436,56,16.1
lw-ms-ambi-02,2025-01-21T18:56:44.192632Z,74,769,56,18.5
lw-ms-ambi-03,2025-01-21T18:58:42.060127Z,77,415,56,16.1
lw-ms-ambi-01,2025-01-21T19:04:42.499363Z,73,763,55,17.2
lw-ms-ambi-02,2025-01-21T19:06:43.671324Z,74,768,56,18.5
lw-ms-ambi-03,2025-01-21T19:08:39.366048Z,77,419,56,16.1
lw-ms-ambi-01,2025-01-21T19:14:39.062155Z,73,753,55.5,17.2
lw-ms-ambi-02,2025-01-21T19:16:43.477097Z,74,761,56,18.5
lw-ms-ambi-03,2025-01-21T19:18:40.580298Z,77,423,56,16.1
lw-ms-ambi-01,2025-01-21T19:24:40.249720Z,73,751,55.5,17.2
lw-ms-ambi-03,2025-01-21T19:28:41.054520Z,77,422,56,16.1
lw-ms-ambi-01,2025-01-21T19:34:39.567470Z,73,707,55,17.2
lw-ms-ambi-02,2025-01-21T19:36:46.685109Z,74,728,56,18.5
lw-ms-ambi-03,2025-01-21T19:38:42.993352Z,77,417,56.5,16
